org_base	org_derived	POS	derivation_process_prefix	derivation_process_suffix	base	derived	btd	dtb
Бирской	Бирин	ADJ.N		ск.ин	Бирск	Бирин	ск	ин
Бирский	Бирин	ADJ.N	nan.nan	ск.ск	Бирск	Бирин	ск	ин
Кривскый	Кривин	ADJ.N		ск.ин	Кривск	Кривин	ск	ин
Кривский	Кривин	ADJ.N	nan.nan	ск.ск	Кривск	Кривин	ск	ин
Сакской	Сакин	ADJ.N		ск.ин	Сакск	Сакин	ск	ин
Сакский	Сакин	ADJ.N	nan.nan	ск.ск	Сакск	Сакин	ск	ин
Сирский	Сирин	ADJ.N		ск.ин	Сирск	Сирин	ск	ин
Сирской	Сирин	ADJ.N	nan.nan	ск.ск	Сирск	Сирин	ск	ин
Чернавскый	Чернавин	ADJ.N		ск.ин	Чернавск	Чернавин	ск	ин
Чернавский	Чернавин	ADJ.N	nan.nan	ск.ск	Чернавск	Чернавин	ск	ин
Южскый	Южин	ADJ.N		ск.ин	Южск	Южин	ск	ин
Южский	Южин	ADJ.N	nan.nan	ск.ск	Южск	Южин	ск	ин
англиканскый	англиканин	ADJ.N		ск.ин	англиканск	англиканин	ск	ин
англиканский	англиканин	ADJ.N	nan.nan	ск.ск	англиканск	англиканин	ск	ин
балто-славянский	балто-славянин	ADJ.N		ск.ин	балто-славянск	балто-славянин	ск	ин
балто-славянской	балто-славянин	ADJ.N	nan.nan	ск.ск	балто-славянск	балто-славянин	ск	ин
коми-зырянскый	коми-зырянин	ADJ.N		ск.ин	коми-зырянск	коми-зырянин	ск	ин
коми-зырянский	коми-зырянин	ADJ.N	nan.nan	ск.ск	коми-зырянск	коми-зырянин	ск	ин
никонианский	никонианин	ADJ.N		ск.ин	никонианск	никонианин	ск	ин
никонианской	никонианин	ADJ.N	nan.nan	ск.ск	никонианск	никонианин	ск	ин
персиянскый	персиянин	ADJ.N		ск.ин	персиянск	персиянин	ск	ин
персиянский	персиянин	ADJ.N	nan.nan	ск.ск	персиянск	персиянин	ск	ин
таитянской	таитянин	ADJ.N		ск.ин	таитянск	таитянин	ск	ин
таитянский	таитянин	ADJ.N	nan.nan	ск.ск	таитянск	таитянин	ск	ин
вереск	верещить	N.V		ск.щ	вереск	верещ	ск	щ
верещать	вереск	V.N		щ.ск	верещ	вереск	щ	ск
безправия	безправный	N.ADJ		и.н	безправи	безправн	и	н
безправие	безправный	N.ADJ	nan.nan	и.и	безправи	безправн	и	н
благоутробия	благоутробный	N.ADJ		и.н	благоутроби	благоутробн	и	н
благоутробие	благоутробный	N.ADJ	nan.nan	и.и	благоутроби	благоутробн	и	н
вкрапление	вкрапленной	N.ADJ		и.н	вкраплени	вкрапленн	и	н
вкрапление	вкрапленный	N.ADJ	nan.nan	и.и	вкраплени	вкрапленн	и	н
внушение	внушенной	N.ADJ		и.н	внушени	внушенн	и	н
внушение	внушенный	N.ADJ	nan.nan	и.и	внушени	внушенн	и	н
импортирование	импортированный	N.ADJ		и.н	импортировани	импортированн	и	н
импортирование	импортированной	N.ADJ	nan.nan	и.и	импортировани	импортированн	и	н
преподание	преподанной	N.ADJ		и.н	преподани	преподанн	и	н
преподание	преподанный	N.ADJ	nan.nan	и.и	преподани	преподанн	и	н
калибрование	калиброванный	N.ADJ		и.н	калибровани	калиброванн	и	н
калибрование	калиброванной	N.ADJ	nan.nan	и.и	калибровани	калиброванн	и	н
лоди	лодный	V.ADJ		и.н	лоди	лодн	и	н
лодие	лодный	N.ADJ	nan.nan	и.и	лоди	лодн	и	н
маловодия	маловодный	N.ADJ		и.н	маловоди	маловодн	и	н
маловодие	маловодный	N.ADJ	nan.nan	и.и	маловоди	маловодн	и	н
моление	моленной	N.ADJ		и.н	молени	моленн	и	н
моление	моленный	N.ADJ	nan.nan	и.и	молени	моленн	и	н
обморожение	обмороженной	N.ADJ		и.н	обморожени	обмороженн	и	н
обморожение	обмороженный	N.ADJ	nan.nan	и.и	обморожени	обмороженн	и	н
надрезание	надрезанной	N.ADJ		и.н	надрезани	надрезанн	и	н
надрезание	надрезанный	N.ADJ	nan.nan	и.и	надрезани	надрезанн	и	н
насаждение	насажденной	N.ADJ		и.н	насаждени	насажденн	и	н
насаждение	насажденный	N.ADJ	nan.nan	и.и	насаждени	насажденн	и	н
принуждение	принужденной	N.ADJ		и.н	принуждени	принужденн	и	н
принуждение	принужденный	N.ADJ	nan.nan	и.и	принуждени	принужденн	и	н
одомашнение	одомашненный	N.ADJ		и.н	одомашнени	одомашненн	и	н
одомашнение	одомашненной	N.ADJ	nan.nan	и.и	одомашнени	одомашненн	и	н
околдование	околдованной	N.ADJ		и.н	околдовани	околдованн	и	н
околдование	околдованный	N.ADJ	nan.nan	и.и	околдовани	околдованн	и	н
осияния	осиянный	N.ADJ		и.н	осияни	осиянн	и	н
осияние	осиянный	N.ADJ	nan.nan	и.и	осияни	осиянн	и	н
отягчение	отягченной	N.ADJ		и.н	отягчени	отягченн	и	н
отягчение	отягченный	N.ADJ	nan.nan	и.и	отягчени	отягченн	и	н
пакетирование	пакетированной	N.ADJ		и.н	пакетировани	пакетированн	и	н
пакетирование	пакетированный	N.ADJ	nan.nan	и.и	пакетировани	пакетированн	и	н
перевезение	перевезенный	N.ADJ		и.н	перевезени	перевезенн	и	н
перевезение	перевезенной	N.ADJ	nan.nan	и.и	перевезени	перевезенн	и	н
заплетение	заплетенной	N.ADJ		и.н	заплетени	заплетенн	и	н
заплетение	заплетенный	N.ADJ	nan.nan	и.и	заплетени	заплетенн	и	н
православие	православный	N.ADJ		и.н	православи	православн	и	н
православие	православний	N.ADJ	nan.nan	и.и	православи	православн	и	н
препарирование	препарированный	N.ADJ		и.н	препарировани	препарированн	и	н
препарирование	препарированной	N.ADJ	nan.nan	и.и	препарировани	препарированн	и	н
свершение	свершенный	N.ADJ		и.н	свершени	свершенн	и	н
свершение	свершенной	N.ADJ	nan.nan	и.и	свершени	свершенн	и	н
своенравие	своенравный	N.ADJ		и.н	своенрави	своенравн	и	н
своенравие	своенравний	N.ADJ	nan.nan	и.и	своенрави	своенравн	и	н
собрани	собранный	V.ADJ		и.н	собрани	собранн	и	н
собрание	собранний	N.ADJ	nan.nan	и.и	собрани	собранн	и	н
стрижения	стриженный	N.ADJ		и.н	стрижени	стриженн	и	н
стрижение	стриженный	N.ADJ	nan.nan	и.и	стрижени	стриженн	и	н
ужесточение	ужесточенной	N.ADJ		и.н	ужесточени	ужесточенн	и	н
ужесточение	ужесточенный	N.ADJ	nan.nan	и.и	ужесточени	ужесточенн	и	н
урегулирование	урегулированной	N.ADJ		и.н	урегулировани	урегулированн	и	н
урегулирование	урегулированный	N.ADJ	nan.nan	и.и	урегулировани	урегулированн	и	н
фильтрование	фильтрованный	N.ADJ		и.н	фильтровани	фильтрованн	и	н
фильтрование	фильтрованной	N.ADJ	nan.nan	и.и	фильтровани	фильтрованн	и	н
фракционирование	фракционированной	N.ADJ		и.н	фракционировани	фракционированн	и	н
фракционирование	фракционированный	N.ADJ	nan.nan	и.и	фракционировани	фракционированн	и	н
шени	шенный	V.ADJ		и.н	шени	шенн	и	н
шение	шенный	N.ADJ	nan.nan	и.и	шени	шенн	и	н
Трехгорка	Трехгорный	N.ADJ	nan.nan	к.к	Трехгорк	Трехгорн	к	н
Трехгорка	Трехгорной	N.ADJ		к.н	Трехгорк	Трехгорн	к	н
выходка	выходной	N.ADJ	nan.nan	к.к	выходк	выходн	к	н
выходка	выходный	N.ADJ		к.н	выходк	выходн	к	н
радужка	радужний	N.ADJ	nan.nan	к.к	радужк	радужн	к	н
радужка	радужный	N.ADJ		к.н	радужк	радужн	к	н
трёхцветка	трёхцветной	N.ADJ	nan.nan	к.к	трёхцветк	трёхцветн	к	н
трёхцветка	трёхцветный	N.ADJ		к.н	трёхцветк	трёхцветн	к	н
сволочьё	сволочной	N.ADJ	nan.nan	ь.ь	сволочь	сволочн	ь	н
сволочь	сволочной	V.ADJ		ь.н	сволочь	сволочн	ь	н
согласный	согласовать	ADJ.V		н.в	согласн	согласов	н	в
согласный	согласоваться	ADJ.V	nan.nan	н.н	согласн	согласов	н	в
аттестат	аттестоваться	N.V	nan.nan	ат.ат	аттестат	аттестов	ат	в
аттестат	аттестовать	N.V		ат.в	аттестат	аттестов	ат	в
Бельской	Белин	ADJ.N		ьск.ин	Бельск	Белин	ьск	ин
Белин	Бельский	N.ADJ		ин.ьск	Белин	Бельск	ин	ьск
Метельскый	Метелин	ADJ.N		ьск.ин	Метельск	Метелин	ьск	ин
Метелин	Метельский	N.ADJ		ин.ьск	Метелин	Метельск	ин	ьск
